,date,article,views,comments
75,"May 18th 2017, 2:30 PM",Dáil votes to keep AIB shares because the government forgot to vote,"32,440  Views", 41 Comments
76,"Apr 26th 2017, 12:01 AM",AIB fined €2.3 million for breaches relating to terrorist financing and money laundering,"19,929  Views", 22 Comments
77,"Mar 23rd 2017, 11:30 AM",Tracker mortgages: €76 million paid out in compensation so far to customers denied proper rates,"10,313  Views", 10 Comments
78,"Mar 12th 2017, 4:08 PM",Brendan Howlin has called for the sale of AIB to be put on hold,"22,073  Views", 90 Comments
79,"Mar 1st 2017, 2:33 PM",Money taken in cash-in-transit robbery at AIB branch in Kells,"10,760  Views", 11 Comments
80,"Dec 6th 2016, 11:13 AM",6 of the most festive places to grab brunch around Ireland,"16,536  Views", 3 Comments
81,"Nov 27th 2016, 7:00 AM",'The rage inside me was getting stronger': Ireland's top bankers face grilling on mortgages and repossessions,"17,947  Views", 32 Comments
82,"Nov 24th 2016, 5:10 PM",AIB says 14 people lost their homes because of high tracker mortgage rates,"17,621  Views", 53 Comments
83,"Nov 17th 2016, 6:08 PM",State is preparing to offer up part of its stake in AIB to private owners,"12,555  Views", 41 Comments
84,"Oct 10th 2016, 3:00 PM","Bank manager who stole over €125,000 from friends and customers given suspended sentence","36,391  Views", 72 Comments
85,"Oct 6th 2016, 5:34 PM",AIB is laying off around 150 people,"26,082  Views", 32 Comments
86,"Sep 26th 2016, 6:10 AM",These are the companies Ireland's graduates most want to work for,"54,982  Views", 38 Comments
87,"Aug 11th 2016, 6:40 PM",AIB mobile banking services back up and running after technical problems,"27,650  Views", 29 Comments
88,"Jul 30th 2016, 11:04 AM",AIB and BOI ranked among the worst in Europe after stress test,"21,557  Views", 44 Comments
89,"Jul 21st 2016, 10:21 AM",AIB's mobile and internet banking are down - but cards and branches are fine,"23,925  Views", 60 Comments
90,"Jul 8th 2016, 7:16 PM",Catherine Murphy makes more claims in the Dáil about Denis O'Brien's finances,"37,105  Views", 80 Comments
91,"May 18th 2016, 2:32 PM",AIB to open new supermarket branch as part of ongoing expansion for bank,"20,803  Views", 31 Comments
92,"Apr 15th 2016, 2:41 PM",Whistleblower accuses AIB of cooking the books over bad loans,"17,271  Views", 50 Comments
93,"Feb 24th 2016, 6:48 PM",Here's the trailer for Tipperary's Brendan Maher's cricket training in Oz,"7,593  Views", 2 Comments
94,"Feb 4th 2016, 6:28 PM",Man claims government department gave private investigator his personal information,"15,411  Views", 0 Comments
95,"Jan 11th 2016, 4:37 PM",Joan Burton says questions about bank debt deal are now redundant,"20,644  Views", 193 Comments
96,"Dec 17th 2015, 6:06 AM","Football fans offered loans of up to €30,000 to pay for Euro 2016 trip","23,227  Views", 164 Comments
97,"Dec 16th 2015, 7:29 AM",AIB is going to start paying back some of those billions to Ireland,"15,896  Views", 54 Comments
