Date,Meta,Amazon,Apple,Netflix,Google
25/03/2022,221.820007,164.773499,174.720001,373.850006,141.5215
28/03/2022,223.589996,168.990494,175.600006,378.51001,141.949997
29/03/2022,229.860001,169.315002,178.960007,391.820007,143.25
30/03/2022,227.850006,166.300995,177.770004,381.470001,142.644501
31/03/2022,222.360001,162.997498,174.610001,374.589996,139.649506
01/04/2022,224.850006,163.559998,174.309998,373.470001,140.699997
04/04/2022,233.889999,168.346497,178.440002,391.5,143.642502
05/04/2022,231.839996,164.054993,175.059998,380.149994,141.063004
06/04/2022,223.300003,158.755997,171.830002,368.350006,137.175995
07/04/2022,222.949997,157.7845,172.139999,362.149994,136.464996
08/04/2022,222.330002,154.460495,170.089996,355.880005,134.010498
11/04/2022,216.460007,151.121994,165.75,348,129.796494
12/04/2022,214.139999,150.787506,167.660004,344.100006,128.374496
13/04/2022,214.990005,155.541,170.399994,350.429993,130.285995
14/04/2022,210.179993,151.706497,165.289993,341.130005,127.252998
18/04/2022,210.770004,152.785004,165.070007,337.859985,127.960999
19/04/2022,217.309998,158.115494,167.399994,348.609985,130.531006
20/04/2022,200.419998,153.998001,167.229996,226.190002,128.245499
21/04/2022,188.070007,148.296005,166.419998,218.220001,124.9375
22/04/2022,184.110001,144.350006,161.789993,215.520004,119.613998
25/04/2022,186.990005,146.074005,162.880005,209.910004,123.25
26/04/2022,180.949997,139.391006,156.800003,198.399994,119.505997
27/04/2022,174.949997,138.167007,156.570007,188.539993,115.0205
28/04/2022,205.729996,144.596497,163.639999,199.520004,119.411499
29/04/2022,200.470001,124.281502,157.649994,190.360001,114.966499
02/05/2022,211.130005,124.5,157.960007,199.460007,117.156998
03/05/2022,212.029999,124.253502,159.479996,199.869995,118.129501
04/05/2022,223.410004,125.928497,166.020004,204.009995,122.574997
05/05/2022,208.279999,116.406998,156.770004,188.320007,116.746498
06/05/2022,203.770004,114.772499,157.279999,180.970001,115.660004
09/05/2022,196.210007,108.789001,152.059998,173.100006,113.084
10/05/2022,197.649994,108.859001,154.509995,177.660004,114.584503
11/05/2022,188.740005,105.372002,146.5,166.369995,113.960999
12/05/2022,191.240005,106.930496,142.559998,174.309998,113.161003
13/05/2022,198.619995,113.055,147.110001,187.639999,116.515503
16/05/2022,200.039993,110.810501,145.539993,186.509995,114.792503
17/05/2022,202.619995,115.3685,149.240005,190.559998,116.7015
18/05/2022,192.240005,107.112503,140.820007,177.190002,112.401001
19/05/2022,191.289993,107.319,137.350006,183.479996,110.745499
20/05/2022,193.539993,107.591003,137.589996,186.350006,109.313004
23/05/2022,196.229996,107.556999,143.110001,187.440002,111.666496
24/05/2022,181.279999,104.099998,140.360001,180.339996,105.926003
25/05/2022,183.830002,106.775002,140.520004,187.830002,105.8395
26/05/2022,191.630005,111.077499,143.779999,191.399994,108.295998
27/05/2022,195.130005,115.1465,149.639999,195.190002,112.799004
31/05/2022,193.639999,120.209503,148.839996,197.440002,114.039001
01/06/2022,188.639999,121.683998,148.710007,192.910004,114.137001
02/06/2022,198.860001,125.511002,151.210007,205.089996,117.746002
03/06/2022,190.779999,122.349998,145.380005,198.979996,114.564003
06/06/2022,194.25,124.790001,146.139999,197.139999,117.010498
07/06/2022,195.649994,123,148.710007,198.610001,117.2295
08/06/2022,196.639999,121.18,147.960007,202.830002,117.237999
09/06/2022,184,116.150002,142.639999,192.770004,114.917999
10/06/2022,175.570007,109.650002,137.130005,182.940002,111.427498
13/06/2022,164.259995,103.669998,131.880005,169.690002,106.876503
14/06/2022,163.729996,102.309998,132.759995,167.539993,107.194
15/06/2022,169.350006,107.669998,135.429993,180.110001,110.390503
16/06/2022,160.869995,103.660004,130.059998,173.350006,106.636002
17/06/2022,163.740005,106.220001,131.559998,175.509995,107.865501
21/06/2022,157.050003,108.68,135.869995,170.910004,112.014999
22/06/2022,155.850006,108.949997,135.350006,178.889999,112.033997
23/06/2022,158.75,112.440002,138.270004,181.710007,112.684502
24/06/2022,170.160004,116.459999,141.660004,190.850006,118.538002
27/06/2022,169.490005,113.220001,141.660004,189.139999,116.622498
28/06/2022,160.679993,107.400002,137.440002,179.600006,112.571503
29/06/2022,163.940002,108.919998,139.229996,178.360001,112.2565
30/06/2022,161.25,106.209999,136.720001,174.869995,109.372498
01/07/2022,160.029999,109.559998,138.929993,179.949997,109.081001
05/07/2022,168.190002,113.5,141.559998,185.880005,113.887001
06/07/2022,169.770004,114.330002,142.919998,184.059998,115.213501
07/07/2022,172.190002,116.330002,146.350006,189.270004,119.306
08/07/2022,170.880005,115.540001,147.039993,186.979996,120.168503
11/07/2022,162.880005,111.75,144.869995,177.339996,116.522499
12/07/2022,163.270004,109.220001,145.860001,174.449997,114.849503
13/07/2022,163.490005,110.400002,145.490005,176.559998,112.186996
14/07/2022,158.050003,110.629997,148.470001,174.779999,111.440002
15/07/2022,164.699997,113.550003,150.169998,189.110001,112.766998
18/07/2022,167.229996,113.760002,147.070007,190.919998,109.910004
