,date,views,comments,article,tag,sentiment_score,sentiment_tag
372,2020-12-30,43016,44,"2,143 Covid-19 cases and six deaths confirmed in Northern Ireland",General news,0.4,Positive
373,2020-12-29,180641,379,"Coronavirus: Nine deaths and 1,546 new cases confirmed in Ireland",Daily press announcement,0.2681818181818182,Positive
374,2020-12-29,46330,0,"Debunked: No, a Freedom of Information request to the HSE did not prove that Covid-19 does not exist",General news,0.0,Neutral
375,2020-12-29,36689,53,"14 deaths and 1,566 new cases of Covid-19 confirmed in Northern Ireland",Daily press announcement,0.2681818181818182,Positive
376,2020-12-28,112205,117,Tony Holohan issues stark warning as Covid-19 hospitalisations surpass second wave,General news,-0.1,Negative
377,2020-12-28,94843,195,Coronavirus: One death and 765 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
378,2020-12-28,254542,0,"Debunked: No, a former Pfizer employee was not correct to say there is 'no need for vaccines'",Vaccine,0.0,Neutral
379,2020-12-27,130777,173,Coronavirus: Four deaths and 744 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
380,2020-12-27,22767,57,Mass vaccination programme against Covid-19 begins across multiple European nations,Vaccine,0.0,Neutral
381,2020-12-25,213321,210,"Dr Tony Holohan says new Covid variant from UK detected in Ireland as 1,025 new cases confirmed",Daily press announcement,0.22424242424242424,Positive
382,2020-12-23,134935,188,Coronavirus: 938 new cases as Ireland's situation now 'most serious since March',Daily press announcement,0.10101010101010101,Neutral
383,2020-12-23,91742,0,"Debunked: No, this US nurse who fainted after her Covid-19 vaccine has not died",Vaccine,0.0,Neutral
384,2020-12-23,89062,123,All ministers restricting their movements after member of Cabinet tests positive for Covid-19,General news,0.22727272727272727,Positive
385,2020-12-23,2447,0,"Debunked: No, this photo does not show Paris 'in full out war' over Covid-19 restrictions",General news,0.35,Positive
386,2020-12-23,60363,62,People who arrived in Ireland from Britain since 8 December under 'enhanced surveillance',General news,0.0,Neutral
387,2020-12-22,45494,56,"Updated advice for visitors from Britain: 14 days of self-isolation, regardless of test result",General news,0.0,Neutral
388,2020-12-22,145890,179,Coronavirus: 13 deaths and 970 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
389,2020-12-22,225788,136,'Level 5 with modifications': Here's when the new restrictions kick in over the Christmas and New Year period,General news,0.13636363636363635,Neutral
390,2020-12-22,45818,19,"Only six people can attend weddings from 3 January, and worship moves online from 26 December",General news,0.0,Neutral
391,2020-12-22,55091,0,"FactCheck: No, a claim by an Irish doctor that PCR tests have a 97% false positive rate is not true",General news,-0.0869318181818182,Negative
392,2020-12-21,28686,53,De Gascun: 'No hard evidence' yet that new variant seen in UK is more infectious,General news,0.26073232323232326,Positive
393,2020-12-21,99346,170,Coronavirus: No new deaths and 727 new cases confirmed in Ireland,Daily press announcement,0.15606060606060607,Positive
394,2020-12-21,42867,41,Schools in NI will reopen after Christmas break but additional safety measures will be in place,General news,0.0,Neutral
395,2020-12-21,25267,16,ECDC says there is a lack of evidence on how bad new virus strain is,General news,-0.28181818181818175,Negative
396,2020-12-21,45901,104,How anti-vaccine misinformation took aim at the Toy Show - and what can be done about it ,Vaccine,0.0,Neutral
397,2020-12-19,21236,12,Practical ways to help people who are homeless this Christmas ,General news,0.0,Neutral
398,2020-12-19,34363,26,Reader Q&A: The Swine Flu vaccine was fast-tracked too - so how are things different this time around?,Vaccine,0.0,Neutral
399,2020-12-18,113229,199,Coronavirus: Six deaths and 582 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
400,2020-12-17,114937,190,'We are concerned we're now in a phase of rapid growth': 3 deaths and 484 new cases of Covid-19 confirmed,Daily press announcement,0.34545454545454546,Positive
401,2020-12-16,99898,214,Coronavirus: Six deaths and 431 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
402,2020-12-15,63733,101,Coronavirus: Eight deaths and 329 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
403,2020-12-15,24150,27,Here's what'll happen when you go to get your Covid-19 vaccine,Vaccine,0.0,Neutral
404,2020-12-14,54666,67,Coronavirus: Two deaths and 264 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
405,2020-12-14,55226,76,Taoiseach says there'll be 'limited volumes' of vaccine supply in January and February,Vaccine,-0.07142857142857142,Negative
406,2020-12-13,110046,168,Coronavirus: One death and 429 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
407,2020-12-13,12369,17,Explainer: What is a vaccine and why are they so important?,Vaccine,0.4,Positive
408,2020-12-12,62639,51,Coronavirus: Three deaths and 248 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
409,2020-12-12,23578,12,Lowest number of Covid-19 patients in hospital and ICU since early October,General news,0.1,Neutral
410,2020-12-12,48185,30,Q&A: Answers to reader questions about the Covid-19 vaccine and Ireland's rollout plans  ,Vaccine,0.0,Neutral
411,2020-12-11,70762,70,Coronavirus: Three deaths and 313 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
412,2020-12-11,25389,0,FactCheck: Are RNA Covid-19 vaccines actually responsible for 'genetic manipulation'? ,Vaccine,0.2,Positive
413,2020-12-10,54674,0,"Debunked: No, Pfizer's head of research did not say the Covid vaccine is 'female sterilisation'",Vaccine,0.0,Neutral
414,2020-12-10,88641,100,Coronavirus: 15 deaths and 310 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
415,2020-12-09,63447,72,Coronavirus: Five deaths and 227 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
416,2020-12-05,12117,0,Reader Q&A: What do you want to know about Covid-19 vaccines?,Vaccine,0.0,Neutral
417,2020-12-04,65913,92,Coronavirus: Six deaths and 265 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
418,2020-12-04,50106,29,Restaurants and gastropubs reopen today - here's everything you need to know,General news,0.0,Neutral
419,2020-12-04,20429,0,FactCheck: Was the UK able to approve the Pfizer vaccine before the EU because of Brexit?,Vaccine,0.5,Positive
420,2020-12-02,59184,68,Coronavirus: Five deaths and 270 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
421,2020-12-02,36160,45,Explainer: How has a Covid-19 vaccine been approved so quickly in the UK?,Vaccine,0.3333333333333333,Positive
422,2020-12-01,87977,113,Coronavirus: 18 deaths and 269 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
423,2020-12-01,13826,6,"Covid-19 death toll passes 1,000 in Northern Ireland",General news,0.0,Neutral
424,2020-12-01,23950,54,Over half of people believe individuals travelling from 'red' regions should not be allowed into Ireland,Travel,-0.08333333333333333,Negative
425,2020-12-01,20017,29,"'Stay away from crowded shops, streets and buses': Caution urged as retailers open back up for Christmas shopping",General news,0.0,Neutral
426,2020-11-30,70189,38,Over 100 garda checkpoints in operation every day as country enters Level 3 ,General news,0.0,Neutral
427,2020-11-30,9456,10,Number of overseas passengers dropped by 76% this year,Travel,0.0,Neutral
428,2020-11-30,64658,183,Coronavirus: One death and 306 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
429,2020-11-30,14478,24,People urged to avoid public transport at peak times ahead of move to Level 3,General news,0.0,Neutral
430,2020-11-30,18769,5,INMO calls for isolation period for Covid-positive healthcare workers to be increased ,General news,0.0,Neutral
431,2020-11-29,112415,25,All arrivals into Ireland can now end movement restrictions after five days with a negative Covid-19 test,General news,-0.3,Negative
432,2020-11-28,34441,25,Covid-19: Here's what changes kick in next Tuesday and throughout December ,General news,0.0,Neutral
433,2020-11-27,35088,30,What is the new advice around household visits and travel?,Travel,0.13636363636363635,Neutral
434,2020-11-27,50803,76,Coronavirus: Seven deaths and 206 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
435,2020-11-26,151133,169,Cabinet set to green light restaurants reopening after NPHET recommends takeaway only in December,General news,0.06666666666666667,Neutral
436,2020-11-26,34043,43,Christmas Bonus will be paid to over 1.6 million people in early December,General news,0.1,Neutral
437,2020-11-26,76172,184,Coronavirus: Three deaths and 335 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
438,2020-11-26,17372,24,Mike Ryan says there's a 'genuine desire to offer people the hope of Christmas' but risks remain,General news,0.4,Positive
439,2020-11-26,29312,14,"FactCheck: No, the WHO's Dr Mike Ryan didn't say that Covid-19 is 'no more dangerous' than the flu",General news,-0.425,Negative
440,2020-11-25,78942,157,Coronavirus: Six deaths and 269 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
441,2020-11-25,21363,13,"Waste, greenhouse gases and traffic: The impact of the Covid-19 pandemic on Ireland's environment",General news,-0.2,Negative
442,2020-11-24,83908,141,Coronavirus: Six deaths and 226 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
443,2020-11-23,114847,151,No deaths and 252 new cases confirmed as Holohan warns against culture of 'blame' over breaches,Daily press announcement,0.2681818181818182,Positive
444,2020-11-23,25714,0,"Debunked: No, you won't need a 'vaccination passport' to receive social welfare",Vaccine,0.03333333333333333,Neutral
445,2020-11-22,88337,117,Coronavirus: One death and 318 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
446,2020-11-21,95255,153,Coronavirus: Four deaths and 344 new cases confirmed in Ireland ,Daily press announcement,0.2681818181818182,Positive
447,2020-11-21,75125,29,'We can't judge anyone for whatever decision they make': Irish emigrants on why they're travelling home this Christmas,Travel,0.0,Neutral
448,2020-11-20,78487,52,Coronavirus: Eight deaths and 330 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
449,2020-11-19,84640,179,Coronavirus: Four deaths and 429 new cases confirmed in Ireland,Daily press announcement,0.2681818181818182,Positive
450,2020-11-15,23214,0,"Debunked: No, the HSE hasn't said its coronavirus testing method is useless",General news,-0.5,Negative
451,2020-11-13,93920,139,Dr Holohan says we must not 'drop our guard' as 7 deaths and 482 new cases of Covid-19 confirmed,Daily press announcement,0.2681818181818182,Positive
