Date,Age,Volume
25/04/2020,Aged25to34,2854
25/04/2020,Aged35to44,3066
25/04/2020,Aged45to54,3298
25/04/2020,Aged55to64,2415
26/04/2020,Aged1to4,90
26/04/2020,Aged5to14,180
26/04/2020,Aged15to24,1180
26/04/2020,Aged25to34,2927
26/04/2020,Aged35to44,3128
26/04/2020,Aged45to54,3353
26/04/2020,Aged55to64,2466
27/04/2020,Aged1to4,94
27/04/2020,Aged5to14,187
27/04/2020,Aged15to24,1225
27/04/2020,Aged25to34,3018
27/04/2020,Aged35to44,3232
27/04/2020,Aged45to54,3475
27/04/2020,Aged55to64,2517
28/04/2020,Aged1to4,95
28/04/2020,Aged5to14,192
28/04/2020,Aged15to24,1258
28/04/2020,Aged25to34,3066
28/04/2020,Aged35to44,3285
28/04/2020,Aged45to54,3524
28/04/2020,Aged55to64,2553
29/04/2020,Aged1to4,97
29/04/2020,Aged5to14,196
29/04/2020,Aged15to24,1291
29/04/2020,Aged25to34,3123
29/04/2020,Aged35to44,3348
29/04/2020,Aged45to54,3588
29/04/2020,Aged55to64,2589
30/04/2020,Aged1to4,98
30/04/2020,Aged5to14,200
30/04/2020,Aged15to24,1319
30/04/2020,Aged25to34,3174
30/04/2020,Aged35to44,3409
30/04/2020,Aged45to54,3652
30/04/2020,Aged55to64,2633
01/05/2020,Aged1to4,100
01/05/2020,Aged5to14,205
01/05/2020,Aged15to24,1357
01/05/2020,Aged25to34,3246
01/05/2020,Aged35to44,3463
01/05/2020,Aged45to54,3707
01/05/2020,Aged55to64,2673
02/05/2020,Aged1to4,100
02/05/2020,Aged5to14,206
02/05/2020,Aged15to24,1378
02/05/2020,Aged25to34,3292
02/05/2020,Aged35to44,3507
02/05/2020,Aged45to54,3758
02/05/2020,Aged55to64,2705
03/05/2020,Aged1to4,107
03/05/2020,Aged5to14,215
03/05/2020,Aged15to24,1415
03/05/2020,Aged25to34,3352
03/05/2020,Aged35to44,3566
03/05/2020,Aged45to54,3818
03/05/2020,Aged55to64,2743
04/05/2020,Aged1to4,109
04/05/2020,Aged5to14,223
04/05/2020,Aged15to24,1458
04/05/2020,Aged25to34,3443
04/05/2020,Aged35to44,3644
04/05/2020,Aged45to54,3879
04/05/2020,Aged55to64,2790
05/05/2020,Aged1to4,110
05/05/2020,Aged5to14,230
05/05/2020,Aged15to24,1473
05/05/2020,Aged25to34,3479
05/05/2020,Aged35to44,3690
05/05/2020,Aged45to54,3913
05/05/2020,Aged55to64,2818
06/05/2020,Aged1to4,113
06/05/2020,Aged5to14,236
06/05/2020,Aged15to24,1493
06/05/2020,Aged25to34,3537
06/05/2020,Aged35to44,3742
06/05/2020,Aged45to54,3957
06/05/2020,Aged55to64,2841
07/05/2020,Aged1to4,116
07/05/2020,Aged5to14,240
07/05/2020,Aged15to24,1529
07/05/2020,Aged25to34,3598
07/05/2020,Aged35to44,3807
07/05/2020,Aged45to54,3999
07/05/2020,Aged55to64,2872
08/05/2020,Aged1to4,116
08/05/2020,Aged5to14,242
08/05/2020,Aged15to24,1541
08/05/2020,Aged25to34,3616
08/05/2020,Aged35to44,3829
08/05/2020,Aged45to54,4034
08/05/2020,Aged55to64,2891
09/05/2020,Aged1to4,116
09/05/2020,Aged5to14,244
09/05/2020,Aged15to24,1562
09/05/2020,Aged25to34,3653
09/05/2020,Aged35to44,3866
09/05/2020,Aged45to54,4055
09/05/2020,Aged55to64,2913
10/05/2020,Aged1to4,118
10/05/2020,Aged5to14,250
10/05/2020,Aged15to24,1576
10/05/2020,Aged25to34,3684
10/05/2020,Aged35to44,3892
10/05/2020,Aged45to54,4077
10/05/2020,Aged55to64,2931
11/05/2020,Aged1to4,120
11/05/2020,Aged5to14,257
11/05/2020,Aged15to24,1597
11/05/2020,Aged25to34,3727
11/05/2020,Aged35to44,3943
11/05/2020,Aged45to54,4120
11/05/2020,Aged55to64,2968
12/05/2020,Aged1to4,120
12/05/2020,Aged5to14,259
12/05/2020,Aged15to24,1616
12/05/2020,Aged25to34,3757
12/05/2020,Aged35to44,3971
12/05/2020,Aged45to54,4145
12/05/2020,Aged55to64,2993
13/05/2020,Aged1to4,121
13/05/2020,Aged5to14,262
13/05/2020,Aged15to24,1625
13/05/2020,Aged25to34,3775
13/05/2020,Aged35to44,3987
13/05/2020,Aged45to54,4161
13/05/2020,Aged55to64,2998
14/05/2020,Aged1to4,124
14/05/2020,Aged5to14,265
14/05/2020,Aged15to24,1635
14/05/2020,Aged25to34,3803
14/05/2020,Aged35to44,4008
14/05/2020,Aged45to54,4177
14/05/2020,Aged55to64,3014
15/05/2020,Aged1to4,127
15/05/2020,Aged5to14,265
15/05/2020,Aged15to24,1681
15/05/2020,Aged25to34,3912
15/05/2020,Aged35to44,4087
15/05/2020,Aged45to54,4247
15/05/2020,Aged55to64,3052
16/05/2020,Aged1to4,127
16/05/2020,Aged5to14,266
16/05/2020,Aged15to24,1699
16/05/2020,Aged25to34,3970
16/05/2020,Aged35to44,4160
16/05/2020,Aged45to54,4286
16/05/2020,Aged55to64,3080
17/05/2020,Aged1to4,129
17/05/2020,Aged5to14,269
17/05/2020,Aged15to24,1709
